,away_team.statistics.fumbles.team.lost,away_team.statistics.kickoffs.team.ret,away_team.statistics.fourth_down_efficiency.team.att,away_team.statistics.passing.team.rating,home_team.statistics.kickoffs.team.kicks,home_team.statistics.fourth_down_efficiency.team.att,home_team.statistics.passing.team.rating
1761,1,0,1,84.1,6,0,79.0
1762,1,2,2,123.9,4,0,65.2
1763,0,4,0,88.6,5,0,103.5
1772,0,1,1,55.4,6,0,105.7
1771,1,2,2,91.2,5,0,85.3
1770,0,1,1,82.0,7,0,150.5
1769,2,0,3,46.3,5,0,40.3
1766,0,2,0,56.1,4,1,95.4
1767,1,2,1,91.8,5,0,101.3
1768,1,2,3,86.2,5,1,91.8
1765,0,4,0,110.1,5,1,132.7
1764,0,2,1,123.6,3,3,74.4
1773,0,3,0,103.4,5,0,83.4
1774,0,3,1,103.3,4,0,75.4
1775,2,0,1,116.7,6,0,135.7
1776,0,1,2,83.7,7,0,155.3
1777,2,3,2,98.7,7,0,123.2
1778,0,2,1,92.7,6,0,124.2
1779,0,2,0,78.8,4,0,108.3
1781,1,1,3,98.4,10,0,147.5
1782,0,2,0,73.3,4,2,58.6
1783,0,3,3,43.1,6,1,89.3
1784,0,2,0,81.5,4,2,81.1
1785,0,3,0,83.9,4,2,93.4
1786,1,3,0,77.5,4,2,61.0
1787,0,1,1,75.4,7,0,98.7
1780,0,6,0,142.8,4,1,17.0
1788,1,0,1,75.4,5,1,90.3
1790,2,0,4,75.6,6,0,111.5
1789,0,2,0,91.0,8,1,150.6
1791,1,0,2,94.4,8,1,138.4
1792,0,2,1,94.3,5,1,107.2
1793,1,4,1,94.9,3,0,39.4
1794,0,3,1,72.8,5,2,85.4
1795,0,5,0,96.4,6,0,79.1
1796,1,1,1,27.9,8,1,116.3
1797,0,4,1,90.0,5,1,88.2
1798,0,2,5,94.1,5,0,106.8
1799,1,2,2,93.5,4,1,82.8
1800,0,3,0,103.7,4,1,55.5
1801,0,3,0,44.6,3,0,97.7
1803,1,2,2,66.5,7,0,63.9
1802,0,1,4,80.9,9,1,97.4
1804,1,1,2,91.3,7,1,136.3
1805,0,4,0,108.4,5,2,86.9
1806,1,2,0,92.3,2,1,10.3
1812,0,2,0,96.0,4,1,79.7
1813,1,4,0,138.1,3,4,73.0
1811,1,4,1,76.3,5,2,81.2
1808,2,2,1,81.8,5,0,116.0
1809,1,4,0,81.8,5,3,92.1
1807,1,4,1,76.4,4,1,81.9
1810,1,1,0,76.0,4,1,89.9
1814,0,2,1,105.2,4,0,68.8
1815,1,2,2,62.6,6,0,90.1
1816,1,1,1,81.9,7,1,53.7
1817,1,1,4,67.0,10,2,132.7
1818,2,0,1,71.5,8,1,99.9
1819,0,2,2,69.7,5,0,114.8
1826,0,5,1,95.3,2,2,61.3
1827,0,3,3,98.2,5,0,87.5
1825,1,5,1,81.7,3,3,36.6
1824,1,5,0,137.5,2,1,73.3
1823,1,4,0,91.7,4,0,82.3
1822,0,0,0,143.9,3,1,100.7
1821,0,4,2,76.2,4,3,98.0
1820,0,2,3,75.3,7,0,102.7
1828,1,1,1,62.4,4,0,89.5
1829,2,3,3,80.3,10,0,121.3
1830,0,1,1,63.6,3,0,91.4
1831,0,2,0,85.0,5,3,90.0
1832,0,5,0,81.1,5,0,110.2
1833,0,4,1,94.0,5,1,75.2
1839,1,2,1,55.5,6,0,100.1
1838,0,1,1,84.6,5,3,49.2
1840,0,5,0,109.7,5,1,79.8
1836,2,4,2,88.1,10,0,78.3
1835,0,4,0,51.1,5,0,86.7
1834,2,3,1,64.7,4,0,87.0
1837,0,1,3,49.5,6,1,94.0
1841,1,2,1,57.3,6,0,98.9
1842,0,1,0,54.8,6,0,121.6
1843,1,4,0,70.0,3,2,93.5
1844,0,3,1,104.9,7,1,135.4
